ID;Data_Confronto;Rodada;Time_Casa;Time_Visitante;Gol_1;Gol_2;Razao_Vitoria_Time_Casa;Razao_Vitoria_Time_Visitante;Razao_Derrota_Time_Casa;Razao_Derrota_Time_Visitante;Razao_Empate_Time_Casa;Razao_Empate_Time_Visitante;Media_Gols_Time_Casa;Media_Gols_Time_Visitante;Media_Gols_Sofrido_Time_Casa;Media_Gols_Sofrido_Time_Visitante;Exp_Gols_Mandante_Final;Exp_Gols_Visitante_Final;Forma_Mandante;Forma_Visitante;Elo_Mandante;Elo_Visitante;Exp_Vitoria;Tipo_Vencedor;Vencedor
492;2014-07-26;12;criciúma;vitória;1;3;0.3469;0.3469;0.4694;0.3265;0.1837;0.1837;1.1429;1.3878;1.5918;1.3673;1;1;6;3;1001.145;1000.27;E;V;vitória
493;2014-07-27;12;corinthians;palmeiras;2;0;0.3265;0.3636;0.2245;0.5455;0.449;2.0;0.8163;0.8182;0.5714;1.2727;1;0;10;1;1005.6675;992.24;M;M;corinthians
494;2014-07-27;12;grêmio;coritiba;2;3;0.4694;0.2653;0.2245;0.4082;0.3061;0.3061;1.0204;1.0204;0.8163;1.1837;1;0;12;5;999.0125;999.8975;M;V;coritiba
495;2014-07-27;12;flamengo;botafogo-rj;1;0;0.2653;0.4082;0.3878;0.3265;0.3469;0.3469;1.0204;1.4082;1.3265;1.102;1;1;0;10;994.0275;993.6475;E;M;flamengo
496;2014-07-27;12;athlético-pr;fluminense;0;3;0.4694;0.3673;0.2449;0.4082;0.2857;0.2857;1.7143;1.2245;1.2653;1.1837;1;0;18;10;998.8325;1006.31;M;V;fluminense
497;2014-07-27;12;goiás;são paulo;2;1;0.4082;0.3878;0.2653;0.3673;0.3265;0.3265;1.1224;1.1633;1.0408;1.0816;1;0;5;9;1004.645;998.1625;M;M;goiás
498;2014-07-27;12;sport;atlético-mg;2;1;0.4545;0.3958;0.2727;0.2917;0.2727;0.0625;0.8182;1.2708;0.9091;1.0;0;0;12;6;1008.34;996.425;E;M;sport
499;2014-08-02;13;são paulo;criciúma;1;1;0.38;0.34;0.38;0.48;0.24;0.24;1.16;1.14;1.1;1.62;1;0;3;3;997.6625;1001.645;M;E;empate
500;2014-08-02;13;botafogo-rj;cruzeiro;1;1;0.4;0.64;0.34;0.2;0.26;0.26;1.38;2.1;1.1;0.98;1;1;6;18;993.6475;994.645;E;E;empate
501;2014-08-02;13;vitória;grêmio;2;1;0.36;0.46;0.32;0.24;0.32;0.32;1.42;1.04;1.36;0.86;1;0;11;7;1000.27;999.0125;M;M;vitória
502;2014-08-03;13;palmeiras;bahia;1;1;0.3333;0.28;0.5833;0.42;0.0833;0.02;0.75;0.9;1.3333;1.18;0;0;0;0;992.24;1003.08;E;E;empate
503;2014-08-03;13;coritiba;corinthians;0;0;0.28;0.34;0.4;0.22;0.32;0.32;1.06;0.84;1.2;0.56;0;0;9;12;999.8975;1005.6675;E;E;empate
504;2014-08-03;13;atlético-mg;athlético-pr;3;1;0.3878;0.46;0.3061;0.26;0.3061;0.3;1.2653;1.68;1.0204;1.3;2;1;2;9;996.425;998.8325;M;M;atlético-mg
505;2014-08-03;13;chapecoense;flamengo;1;0;0.2727;0.28;0.5455;0.38;0.1818;0.04;0.7273;1.02;1.1818;1.3;1;0;9;9;1002.52;994.0275;M;M;chapecoense
